[Header] 2017-09-11 13:38:28,889 [5] INFO  App.Logging [(null)]  - 绑定数据源
2017-09-11 13:38:29,569 [5] INFO  App.Logging [(null)]  - 数据量：12259
2017-09-11 13:38:30,502 [6] INFO  App.Logging [(null)]  - 绑定数据源
2017-09-11 13:38:30,966 [6] INFO  App.Logging [(null)]  - 数据量：12259
2017-09-11 13:38:31,008 [11] INFO  App.Logging [(null)]  - 绑定数据源
2017-09-11 13:38:31,296 [5] INFO  App.Logging [(null)]  - 绑定数据源
2017-09-11 13:38:31,535 [11] INFO  App.Logging [(null)]  - 数据量：12259
2017-09-11 13:38:31,802 [5] INFO  App.Logging [(null)]  - 数据量：12259
2017-09-11 13:39:20,156 [6] INFO  App.Logging [(null)]  - 绑定数据源
2017-09-11 13:39:20,630 [6] INFO  App.Logging [(null)]  - 数据量：12259
2017-09-11 13:39:20,695 [6] INFO  App.Logging [(null)]  - 保存532
2017-09-11 13:39:20,697 [6] INFO  App.Logging [(null)]  - 保存355
2017-09-11 13:39:20,698 [6] INFO  App.Logging [(null)]  - 保存tuipian
2017-09-11 13:39:20,698 [6] INFO  App.Logging [(null)]  - 保存height
2017-09-11 13:39:22,744 [5] INFO  App.Logging [(null)]  - 绑定数据源
2017-09-11 13:39:23,227 [5] INFO  App.Logging [(null)]  - 数据量：12259
2017-09-11 13:39:23,299 [5] INFO  App.Logging [(null)]  - 保存532
2017-09-11 13:39:23,299 [5] INFO  App.Logging [(null)]  - 保存355
2017-09-11 13:39:23,299 [5] INFO  App.Logging [(null)]  - 保存tuipian
2017-09-11 13:39:23,299 [5] INFO  App.Logging [(null)]  - 保存height
2017-09-11 13:43:05,533 [12] INFO  App.Logging [(null)]  - 绑定数据源
2017-09-11 13:43:05,973 [12] INFO  App.Logging [(null)]  - 数据量：12259
2017-09-11 13:43:06,788 [5] INFO  App.Logging [(null)]  - 绑定数据源
2017-09-11 13:43:07,224 [5] INFO  App.Logging [(null)]  - 数据量：12259
2017-09-11 13:43:07,291 [11] INFO  App.Logging [(null)]  - 绑定数据源
2017-09-11 13:43:07,575 [12] INFO  App.Logging [(null)]  - 绑定数据源
2017-09-11 13:43:07,782 [11] INFO  App.Logging [(null)]  - 数据量：12259
2017-09-11 13:43:08,039 [12] INFO  App.Logging [(null)]  - 数据量：12259
2017-09-11 13:43:10,565 [12] INFO  App.Logging [(null)]  - 绑定数据源
2017-09-11 13:43:11,045 [12] INFO  App.Logging [(null)]  - 数据量：12259
2017-09-11 13:43:11,895 [5] INFO  App.Logging [(null)]  - 绑定数据源
2017-09-11 13:43:12,329 [5] INFO  App.Logging [(null)]  - 数据量：12259
2017-09-11 13:43:12,397 [11] INFO  App.Logging [(null)]  - 绑定数据源
2017-09-11 13:43:12,684 [12] INFO  App.Logging [(null)]  - 绑定数据源
2017-09-11 13:43:12,893 [11] INFO  App.Logging [(null)]  - 数据量：12259
2017-09-11 13:43:13,155 [12] INFO  App.Logging [(null)]  - 数据量：12259
[Footer] [Header] 2017-09-11 13:43:27,937 [11] INFO  App.Logging [(null)]  - 绑定数据源
2017-09-11 13:43:28,463 [11] INFO  App.Logging [(null)]  - 数据量：12259
2017-09-11 13:43:29,295 [11] INFO  App.Logging [(null)]  - 绑定数据源
2017-09-11 13:43:29,740 [11] INFO  App.Logging [(null)]  - 数据量：12259
2017-09-11 13:43:29,801 [5] INFO  App.Logging [(null)]  - 绑定数据源
2017-09-11 13:43:30,249 [5] INFO  App.Logging [(null)]  - 数据量：12259
2017-09-11 13:43:30,297 [11] INFO  App.Logging [(null)]  - 绑定数据源
2017-09-11 13:43:30,749 [11] INFO  App.Logging [(null)]  - 数据量：12259
[Footer] [Header] 2017-09-11 13:44:22,336 [10] INFO  App.Logging [(null)]  - 绑定数据源
2017-09-11 13:44:22,858 [10] INFO  App.Logging [(null)]  - 数据量：12259
2017-09-11 13:44:22,912 [10] INFO  App.Logging [(null)]  - 保存532
2017-09-11 13:44:22,912 [10] INFO  App.Logging [(null)]  - 保存355
2017-09-11 13:44:22,912 [10] INFO  App.Logging [(null)]  - 保存tuipian
2017-09-11 13:44:22,912 [10] INFO  App.Logging [(null)]  - 保存height
[Footer] [Header] 2017-09-11 13:46:26,044 [8] INFO  App.Logging [(null)]  - 绑定数据源
2017-09-11 13:46:26,541 [8] INFO  App.Logging [(null)]  - 数据量：12259
2017-09-11 13:46:27,394 [19] INFO  App.Logging [(null)]  - 绑定数据源
2017-09-11 13:46:27,822 [19] INFO  App.Logging [(null)]  - 数据量：12259
2017-09-11 13:46:27,934 [7] INFO  App.Logging [(null)]  - 绑定数据源
2017-09-11 13:46:28,208 [17] INFO  App.Logging [(null)]  - 绑定数据源
2017-09-11 13:46:28,374 [7] INFO  App.Logging [(null)]  - 数据量：12259
2017-09-11 13:46:28,684 [17] INFO  App.Logging [(null)]  - 数据量：12259
[Footer] [Header] 2017-09-11 13:58:42,279 [5] INFO  App.Logging [(null)]  - 绑定数据源
2017-09-11 13:58:42,864 [5] INFO  App.Logging [(null)]  - 数据量：12259
2017-09-11 13:58:43,711 [10] INFO  App.Logging [(null)]  - 绑定数据源
2017-09-11 13:58:44,158 [10] INFO  App.Logging [(null)]  - 数据量：12259
2017-09-11 13:58:44,207 [5] INFO  App.Logging [(null)]  - 绑定数据源
2017-09-11 13:58:44,482 [11] INFO  App.Logging [(null)]  - 绑定数据源
2017-09-11 13:58:44,713 [5] INFO  App.Logging [(null)]  - 数据量：12259
